entry_time,exit_time,qty,pnl,reason
2025-03-21 11:00:00-04:00,2025-03-21 11:30:00-04:00,-1,68.0625,signal
2025-03-24 10:00:00-04:00,2025-03-24 10:05:00-04:00,1,-31.0,stop
2025-03-24 10:10:00-04:00,2025-03-24 11:30:00-04:00,1,55.5625,signal
2025-03-25 10:00:00-04:00,2025-03-25 11:30:00-04:00,1,51.5,signal
2025-03-26 10:00:00-04:00,2025-03-26 10:15:00-04:00,1,-9.75,signal
2025-03-26 10:45:00-04:00,2025-03-26 10:50:00-04:00,-1,-31.0,stop
2025-03-26 10:55:00-04:00,2025-03-26 11:30:00-04:00,-1,50.25,signal
2025-03-27 10:00:00-04:00,2025-03-27 10:10:00-04:00,-1,-31.0,stop
2025-03-27 10:15:00-04:00,2025-03-27 10:25:00-04:00,-1,-31.0,stop
2025-03-27 10:30:00-04:00,2025-03-27 10:35:00-04:00,-1,-31.0,stop
2025-03-27 10:40:00-04:00,2025-03-27 10:45:00-04:00,-1,1.8125,signal
2025-03-27 11:15:00-04:00,2025-03-27 11:25:00-04:00,1,-31.0,stop
2025-03-28 10:00:00-04:00,2025-03-28 11:30:00-04:00,-1,226.8125,signal
2025-03-31 10:00:00-04:00,2025-03-31 10:05:00-04:00,-1,-31.0,stop
2025-03-31 10:10:00-04:00,2025-03-31 10:30:00-04:00,-1,-31.0,stop
2025-03-31 10:35:00-04:00,2025-03-31 10:45:00-04:00,-1,-31.0,stop
2025-03-31 10:50:00-04:00,2025-03-31 11:00:00-04:00,-1,-31.0,stop
2025-03-31 11:05:00-04:00,2025-03-31 11:20:00-04:00,-1,-31.0,stop
2025-03-31 11:25:00-04:00,2025-03-31 11:30:00-04:00,-1,14.0,signal
2025-04-01 10:00:00-04:00,2025-04-01 10:05:00-04:00,1,-31.0,stop
2025-04-01 10:10:00-04:00,2025-04-01 10:15:00-04:00,1,-31.0,stop
2025-04-01 10:20:00-04:00,2025-04-01 11:30:00-04:00,1,309.3125,signal
2025-04-02 10:00:00-04:00,2025-04-02 10:05:00-04:00,1,-31.0,stop
2025-04-02 10:10:00-04:00,2025-04-02 11:30:00-04:00,1,220.5625,signal
2025-04-03 10:00:00-04:00,2025-04-03 11:30:00-04:00,-1,91.1875,signal
2025-04-04 10:00:00-04:00,2025-04-04 11:30:00-04:00,-1,294.625,signal
2025-04-07 10:30:00-04:00,2025-04-07 10:35:00-04:00,1,-31.0,stop
2025-04-07 10:40:00-04:00,2025-04-07 11:10:00-04:00,1,-31.0,stop
2025-04-07 11:15:00-04:00,2025-04-07 11:20:00-04:00,1,-31.0,stop
2025-04-07 11:25:00-04:00,2025-04-07 11:30:00-04:00,1,58.0625,signal
2025-04-08 10:00:00-04:00,2025-04-08 10:05:00-04:00,1,-31.0,stop
2025-04-08 10:10:00-04:00,2025-04-08 10:20:00-04:00,1,-31.0,stop
2025-04-08 10:25:00-04:00,2025-04-08 10:30:00-04:00,1,-31.0,stop
2025-04-08 10:35:00-04:00,2025-04-08 10:40:00-04:00,1,-31.0,stop
2025-04-08 10:45:00-04:00,2025-04-08 10:50:00-04:00,1,-31.0,stop
2025-04-08 10:55:00-04:00,2025-04-08 11:00:00-04:00,1,-31.0,stop
2025-04-08 11:05:00-04:00,2025-04-08 11:10:00-04:00,1,-31.0,stop
2025-04-08 11:15:00-04:00,2025-04-08 11:20:00-04:00,1,-31.0,stop
2025-04-08 11:25:00-04:00,2025-04-08 11:30:00-04:00,1,-31.0,stop
2025-04-09 10:00:00-04:00,2025-04-09 10:05:00-04:00,-1,-31.0,stop
2025-04-09 10:10:00-04:00,2025-04-09 10:15:00-04:00,-1,-31.0,stop
2025-04-09 10:20:00-04:00,2025-04-09 10:25:00-04:00,-1,-31.0,stop
2025-04-09 10:30:00-04:00,2025-04-09 10:35:00-04:00,-1,-31.0,stop
2025-04-09 10:40:00-04:00,2025-04-09 10:45:00-04:00,-1,-31.0,stop
2025-04-09 10:50:00-04:00,2025-04-09 11:05:00-04:00,-1,-31.0,stop
2025-04-09 11:10:00-04:00,2025-04-09 11:15:00-04:00,-1,-31.0,stop
2025-04-09 11:20:00-04:00,2025-04-09 11:25:00-04:00,-1,-31.0,stop
2025-04-10 10:00:00-04:00,2025-04-10 10:05:00-04:00,1,-31.0,stop
2025-04-10 10:10:00-04:00,2025-04-10 10:15:00-04:00,1,-31.0,stop
2025-04-10 10:20:00-04:00,2025-04-10 10:25:00-04:00,1,-31.0,stop
2025-04-10 10:30:00-04:00,2025-04-10 10:45:00-04:00,1,-31.0,stop
2025-04-10 10:50:00-04:00,2025-04-10 10:55:00-04:00,1,-31.0,stop
2025-04-10 11:00:00-04:00,2025-04-10 11:15:00-04:00,1,-31.0,stop
2025-04-10 11:20:00-04:00,2025-04-10 11:25:00-04:00,1,-31.0,stop
2025-04-11 10:00:00-04:00,2025-04-11 10:05:00-04:00,1,-31.0,stop
2025-04-11 10:10:00-04:00,2025-04-11 10:15:00-04:00,1,-31.0,stop
2025-04-11 10:20:00-04:00,2025-04-11 10:25:00-04:00,1,-31.0,stop
2025-04-11 10:30:00-04:00,2025-04-11 11:15:00-04:00,1,-31.0,stop
2025-04-11 11:20:00-04:00,2025-04-11 11:30:00-04:00,1,74.0,signal
2025-04-14 10:00:00-04:00,2025-04-14 10:10:00-04:00,1,-31.0,stop
2025-04-14 10:15:00-04:00,2025-04-14 10:20:00-04:00,1,-31.0,stop
2025-04-14 10:25:00-04:00,2025-04-14 11:05:00-04:00,1,-31.0,stop
2025-04-14 11:10:00-04:00,2025-04-14 11:15:00-04:00,1,-31.0,stop
2025-04-14 11:20:00-04:00,2025-04-14 11:25:00-04:00,1,-31.0,stop
2025-04-15 10:00:00-04:00,2025-04-15 10:15:00-04:00,1,-31.0,stop
2025-04-15 10:20:00-04:00,2025-04-15 10:25:00-04:00,1,-31.0,stop
2025-04-15 10:30:00-04:00,2025-04-15 10:40:00-04:00,1,-31.0,stop
2025-04-15 10:45:00-04:00,2025-04-15 10:50:00-04:00,1,-31.0,stop
2025-04-15 10:55:00-04:00,2025-04-15 11:25:00-04:00,1,-31.0,stop
2025-04-16 10:00:00-04:00,2025-04-16 10:05:00-04:00,-1,-31.0,stop
2025-04-16 10:10:00-04:00,2025-04-16 10:20:00-04:00,-1,-31.0,stop
2025-04-16 10:25:00-04:00,2025-04-16 10:35:00-04:00,-1,-31.0,stop
2025-04-16 10:40:00-04:00,2025-04-16 11:10:00-04:00,-1,-31.0,stop
2025-04-16 11:15:00-04:00,2025-04-16 11:20:00-04:00,-1,-31.0,stop
2025-04-16 11:25:00-04:00,2025-04-16 11:30:00-04:00,-1,8.6875,signal
2025-04-17 10:15:00-04:00,2025-04-17 10:20:00-04:00,1,-31.0,stop
2025-04-17 10:25:00-04:00,2025-04-17 10:30:00-04:00,1,-31.0,stop
2025-04-17 10:35:00-04:00,2025-04-17 11:30:00-04:00,1,130.25,signal
2025-04-21 10:00:00-04:00,2025-04-21 11:30:00-04:00,-1,222.125,signal
2025-04-22 10:00:00-04:00,2025-04-22 11:30:00-04:00,1,144.3125,signal
2025-04-23 10:00:00-04:00,2025-04-23 10:05:00-04:00,1,-31.0,stop
2025-04-23 10:10:00-04:00,2025-04-23 10:15:00-04:00,1,-31.0,stop
2025-04-23 10:20:00-04:00,2025-04-23 11:00:00-04:00,1,-31.0,stop
2025-04-23 11:05:00-04:00,2025-04-23 11:10:00-04:00,1,-31.0,stop
2025-04-23 11:15:00-04:00,2025-04-23 11:20:00-04:00,1,-31.0,stop
2025-04-23 11:25:00-04:00,2025-04-23 11:30:00-04:00,1,-31.0,stop
2025-04-24 10:00:00-04:00,2025-04-24 11:30:00-04:00,1,151.1875,signal
2025-04-25 10:00:00-04:00,2025-04-25 10:20:00-04:00,1,-31.0,stop
2025-04-25 10:25:00-04:00,2025-04-25 10:30:00-04:00,1,-31.0,stop
2025-04-25 10:35:00-04:00,2025-04-25 11:30:00-04:00,1,50.25,signal
2025-04-28 10:00:00-04:00,2025-04-28 10:30:00-04:00,1,-31.0,stop
2025-04-28 10:35:00-04:00,2025-04-28 10:40:00-04:00,1,-31.0,stop
2025-04-28 10:45:00-04:00,2025-04-28 10:50:00-04:00,1,-31.0,stop
2025-04-28 10:55:00-04:00,2025-04-28 11:05:00-04:00,1,-31.0,stop
2025-04-28 11:10:00-04:00,2025-04-28 11:15:00-04:00,1,-31.0,stop
2025-04-29 10:00:00-04:00,2025-04-29 10:20:00-04:00,1,-31.0,stop
2025-04-29 10:25:00-04:00,2025-04-29 11:30:00-04:00,1,91.8125,signal
2025-04-30 10:00:00-04:00,2025-04-30 10:05:00-04:00,-1,-31.0,stop
2025-04-30 10:10:00-04:00,2025-04-30 10:15:00-04:00,-1,-31.0,stop
2025-04-30 10:20:00-04:00,2025-04-30 10:25:00-04:00,-1,-31.0,stop
2025-04-30 10:30:00-04:00,2025-04-30 10:40:00-04:00,-1,-31.0,stop
2025-04-30 10:45:00-04:00,2025-04-30 10:50:00-04:00,-1,-31.0,stop
2025-04-30 10:55:00-04:00,2025-04-30 11:00:00-04:00,-1,-31.0,stop
2025-04-30 11:05:00-04:00,2025-04-30 11:10:00-04:00,-1,-31.0,stop
2025-04-30 11:15:00-04:00,2025-04-30 11:20:00-04:00,-1,-31.0,stop
2025-04-30 11:25:00-04:00,2025-04-30 11:30:00-04:00,-1,-31.0,stop
2025-05-01 10:00:00-04:00,2025-05-01 11:30:00-04:00,1,160.25,signal
2025-05-02 10:00:00-04:00,2025-05-02 11:30:00-04:00,1,52.4375,signal
2025-05-05 10:00:00-04:00,2025-05-05 10:15:00-04:00,-1,-31.0,stop
2025-05-05 10:20:00-04:00,2025-05-05 10:35:00-04:00,-1,-31.0,stop
2025-05-05 10:40:00-04:00,2025-05-05 10:50:00-04:00,-1,-31.0,stop
2025-05-05 10:55:00-04:00,2025-05-05 11:30:00-04:00,-1,15.5625,signal
2025-05-06 10:00:00-04:00,2025-05-06 10:05:00-04:00,-1,-31.0,stop
2025-05-06 10:10:00-04:00,2025-05-06 10:15:00-04:00,-1,-31.0,stop
2025-05-06 10:20:00-04:00,2025-05-06 10:30:00-04:00,-1,-31.0,stop
2025-05-06 10:35:00-04:00,2025-05-06 10:45:00-04:00,-1,-31.0,stop
2025-05-06 10:50:00-04:00,2025-05-06 11:00:00-04:00,-1,-31.0,stop
2025-05-06 11:05:00-04:00,2025-05-06 11:20:00-04:00,-1,-31.0,stop
2025-05-06 11:25:00-04:00,2025-05-06 11:30:00-04:00,-1,-6.625,signal
2025-05-07 10:00:00-04:00,2025-05-07 10:50:00-04:00,1,-31.0,stop
2025-05-07 10:55:00-04:00,2025-05-07 11:00:00-04:00,1,-31.0,stop
2025-05-07 11:05:00-04:00,2025-05-07 11:10:00-04:00,1,-31.0,stop
2025-05-07 11:15:00-04:00,2025-05-07 11:30:00-04:00,1,11.1875,signal
2025-05-08 10:00:00-04:00,2025-05-08 10:05:00-04:00,1,-31.0,stop
2025-05-08 10:10:00-04:00,2025-05-08 10:50:00-04:00,1,-31.0,stop
2025-05-08 10:55:00-04:00,2025-05-08 11:30:00-04:00,1,187.125,signal
2025-05-09 10:00:00-04:00,2025-05-09 11:30:00-04:00,-1,122.75,signal
2025-05-12 10:00:00-04:00,2025-05-12 10:25:00-04:00,1,-31.0,stop
2025-05-12 10:30:00-04:00,2025-05-12 11:30:00-04:00,1,55.5625,signal
2025-05-13 10:00:00-04:00,2025-05-13 11:30:00-04:00,1,114.3125,signal
2025-05-14 10:00:00-04:00,2025-05-14 10:05:00-04:00,1,-31.0,stop
2025-05-14 10:10:00-04:00,2025-05-14 11:00:00-04:00,1,-31.0,stop
2025-05-14 11:05:00-04:00,2025-05-14 11:30:00-04:00,1,81.1875,signal
2025-05-15 10:00:00-04:00,2025-05-15 11:00:00-04:00,-1,-31.0,stop
2025-05-15 11:05:00-04:00,2025-05-15 11:15:00-04:00,-1,-31.0,stop
2025-05-15 11:20:00-04:00,2025-05-15 11:30:00-04:00,-1,1.1875,signal
2025-05-16 10:00:00-04:00,2025-05-16 10:10:00-04:00,1,-31.0,stop
2025-05-16 10:15:00-04:00,2025-05-16 10:30:00-04:00,1,-31.0,stop
2025-05-16 10:35:00-04:00,2025-05-16 10:40:00-04:00,1,-31.0,stop
2025-05-16 10:45:00-04:00,2025-05-16 11:30:00-04:00,1,64.3125,signal
2025-05-19 10:00:00-04:00,2025-05-19 10:05:00-04:00,-1,-31.0,stop
2025-05-19 10:10:00-04:00,2025-05-19 10:15:00-04:00,-1,-31.0,stop
2025-05-19 10:20:00-04:00,2025-05-19 11:30:00-04:00,-1,14.0,signal
2025-05-20 10:00:00-04:00,2025-05-20 10:10:00-04:00,1,-31.0,stop
2025-05-20 10:15:00-04:00,2025-05-20 11:30:00-04:00,1,18.0625,signal
2025-05-21 10:00:00-04:00,2025-05-21 11:00:00-04:00,-1,-31.0,stop
2025-05-21 11:05:00-04:00,2025-05-21 11:10:00-04:00,-1,-31.0,stop
2025-05-21 11:15:00-04:00,2025-05-21 11:30:00-04:00,-1,3.6875,signal
2025-05-22 10:00:00-04:00,2025-05-22 10:05:00-04:00,-1,-31.0,stop
2025-05-22 10:10:00-04:00,2025-05-22 11:30:00-04:00,-1,69.3125,signal
2025-05-23 10:00:00-04:00,2025-05-23 10:05:00-04:00,-1,-31.0,stop
2025-05-23 10:10:00-04:00,2025-05-23 10:15:00-04:00,-1,-31.0,stop
2025-05-23 10:20:00-04:00,2025-05-23 10:25:00-04:00,-1,-31.0,stop
2025-05-23 10:30:00-04:00,2025-05-23 10:40:00-04:00,-1,-31.0,stop
2025-05-23 10:45:00-04:00,2025-05-23 11:30:00-04:00,-1,-31.0,stop
2025-05-26 10:00:00-04:00,2025-05-26 10:35:00-04:00,1,-31.0,stop
2025-05-26 10:40:00-04:00,2025-05-26 11:00:00-04:00,1,-31.0,stop
2025-05-26 11:05:00-04:00,2025-05-26 11:30:00-04:00,1,48.0625,signal
2025-05-27 10:00:00-04:00,2025-05-27 11:30:00-04:00,1,112.125,signal
2025-05-28 10:00:00-04:00,2025-05-28 10:15:00-04:00,1,-31.0,stop
2025-05-28 10:20:00-04:00,2025-05-28 10:35:00-04:00,1,-31.0,stop
2025-05-28 10:40:00-04:00,2025-05-28 10:45:00-04:00,1,-5.375,signal
2025-05-28 11:15:00-04:00,2025-05-28 11:30:00-04:00,-1,1.8125,signal
2025-05-29 10:00:00-04:00,2025-05-29 11:30:00-04:00,-1,57.125,signal
2025-05-30 10:00:00-04:00,2025-05-30 10:05:00-04:00,-1,-31.0,stop
2025-05-30 10:10:00-04:00,2025-05-30 10:20:00-04:00,-1,-31.0,stop
2025-05-30 10:25:00-04:00,2025-05-30 11:30:00-04:00,-1,40.5625,signal
2025-06-02 10:00:00-04:00,2025-06-02 11:30:00-04:00,1,112.75,signal
2025-06-03 10:00:00-04:00,2025-06-03 10:05:00-04:00,1,-31.0,stop
2025-06-03 10:10:00-04:00,2025-06-03 11:30:00-04:00,1,109.3125,signal
2025-06-04 10:15:00-04:00,2025-06-04 11:30:00-04:00,1,-1.3125,signal
2025-06-05 10:00:00-04:00,2025-06-05 10:05:00-04:00,-1,-31.0,stop
2025-06-05 10:10:00-04:00,2025-06-05 10:20:00-04:00,-1,-31.0,stop
2025-06-05 10:25:00-04:00,2025-06-05 10:40:00-04:00,-1,-31.0,stop
2025-06-05 10:45:00-04:00,2025-06-05 10:55:00-04:00,-1,-31.0,stop
2025-06-05 11:00:00-04:00,2025-06-05 11:15:00-04:00,-1,-31.0,stop
2025-06-06 10:00:00-04:00,2025-06-06 10:10:00-04:00,1,-31.0,stop
2025-06-06 10:15:00-04:00,2025-06-06 10:25:00-04:00,1,-31.0,stop
2025-06-06 10:30:00-04:00,2025-06-06 11:15:00-04:00,1,-31.0,stop
2025-06-06 11:20:00-04:00,2025-06-06 11:30:00-04:00,1,18.375,signal
2025-06-09 10:00:00-04:00,2025-06-09 11:30:00-04:00,1,12.4375,signal
2025-06-10 10:00:00-04:00,2025-06-10 11:30:00-04:00,1,-31.0,stop
2025-06-11 10:00:00-04:00,2025-06-11 11:30:00-04:00,1,25.25,signal
2025-06-12 10:00:00-04:00,2025-06-12 10:05:00-04:00,-1,-31.0,stop
2025-06-12 10:10:00-04:00,2025-06-12 10:15:00-04:00,-1,-31.0,stop
2025-06-12 10:20:00-04:00,2025-06-12 10:35:00-04:00,-1,-31.0,stop
2025-06-12 10:40:00-04:00,2025-06-12 11:00:00-04:00,-1,-31.0,stop
2025-06-12 11:05:00-04:00,2025-06-12 11:30:00-04:00,-1,47.4375,signal
2025-06-13 10:00:00-04:00,2025-06-13 10:40:00-04:00,-1,-31.0,stop
2025-06-13 10:45:00-04:00,2025-06-13 10:50:00-04:00,-1,-31.0,stop
2025-06-13 10:55:00-04:00,2025-06-13 11:05:00-04:00,-1,-31.0,stop
2025-06-13 11:10:00-04:00,2025-06-13 11:20:00-04:00,-1,-31.0,stop
2025-06-13 11:25:00-04:00,2025-06-13 11:30:00-04:00,-1,-31.0,stop
2025-06-16 10:00:00-04:00,2025-06-16 11:30:00-04:00,1,3.6875,signal
2025-06-17 10:00:00-04:00,2025-06-17 10:10:00-04:00,-1,-31.0,stop
2025-06-17 10:15:00-04:00,2025-06-17 11:30:00-04:00,-1,40.875,signal
2025-06-18 10:00:00-04:00,2025-06-18 11:30:00-04:00,1,40.875,signal
2025-06-19 10:00:00-04:00,2025-06-19 10:15:00-04:00,-1,-31.0,stop
2025-06-19 10:20:00-04:00,2025-06-19 11:10:00-04:00,-1,-31.0,stop
2025-06-19 11:15:00-04:00,2025-06-19 11:30:00-04:00,-1,26.5,signal
2025-06-20 10:00:00-04:00,2025-06-20 10:05:00-04:00,1,-31.0,stop
2025-06-20 10:10:00-04:00,2025-06-20 10:20:00-04:00,1,-31.0,stop
2025-06-20 10:25:00-04:00,2025-06-20 10:40:00-04:00,1,-31.0,stop
2025-06-20 10:45:00-04:00,2025-06-20 10:50:00-04:00,1,-31.0,stop
2025-06-20 10:55:00-04:00,2025-06-20 11:00:00-04:00,1,-31.0,stop
2025-06-20 11:05:00-04:00,2025-06-20 11:30:00-04:00,1,72.125,signal
2025-06-23 10:30:00-04:00,2025-06-23 10:45:00-04:00,1,-31.0,stop
2025-06-23 10:50:00-04:00,2025-06-23 10:55:00-04:00,1,-31.0,stop
2025-06-23 11:00:00-04:00,2025-06-23 11:30:00-04:00,1,-31.0,stop
2025-06-24 10:00:00-04:00,2025-06-24 10:05:00-04:00,1,-31.0,stop
2025-06-24 10:10:00-04:00,2025-06-24 11:30:00-04:00,1,84.3125,signal
2025-06-25 10:00:00-04:00,2025-06-25 10:10:00-04:00,1,-31.0,stop
2025-06-25 10:15:00-04:00,2025-06-25 11:10:00-04:00,1,-31.0,stop
2025-06-25 11:15:00-04:00,2025-06-25 11:30:00-04:00,1,-31.0,stop
2025-06-26 10:00:00-04:00,2025-06-26 11:30:00-04:00,1,34.625,signal
2025-06-27 10:00:00-04:00,2025-06-27 11:30:00-04:00,1,33.0625,signal
2025-06-30 10:00:00-04:00,2025-06-30 10:35:00-04:00,1,-31.0,stop
